Movie Selection 1,Movie Selection 2,Movie Selection 3,Movie Genre,Other,Gender,Birth Year
Joe Versus the Volcano,Toy Story Series,The Da Vinci Code Series,Horror,,Male,1992
Big,You've Got Mail,Cast Away,Drama,,Female,1990
Philadelphia,The Green Mile,Cast Away,History,,Female,1981
Splash,A League of Their Own,Sleepless in Seattle,Drama,,Female,1988
Big,A League of Their Own,Cast Away,Drama,,Male,1991
A League of Their Own,Sleepless in Seattle,You've Got Mail,Romance,,Female,1953
Forrest Gump,You've Got Mail,Catch Me if You Can,Romance,,Female,1986
Saving Private Ryan,The Green Mile,Cast Away,Drama,,Male,1989
Big,You've Got Mail,The Polar Express,Comedy,,Female,1979
A League of Their Own,Forrest Gump,Cast Away,Other,Romantic Comedy,Female,1988
Toy Story Series,Catch Me if You Can,Saving Mr. Banks,Adventure,,Female,1989
Big,Saving Private Ryan,Catch Me if You Can,Crime,,Male,1989
A League of Their Own,Toy Story Series,The Green Mile,Drama,,Female,1960
A League of Their Own,Forrest Gump,Saving Private Ryan,Drama,,Male,1988
Forrest Gump,Toy Story Series,Cast Away,Comedy,,Female,1992
Big,The 'Burbs,Joe Versus the Volcano,Horror,,Female,1988
Forrest Gump,That Thing You Do!,Catch Me if You Can,Romance,,Male,1988
Forrest Gump,The Green Mile,Catch Me if You Can,Thriller,,Female,1990
Philadelphia,Forrest Gump,Saving Private Ryan,Comedy,,Male,1979
Sleepless in Seattle,Forrest Gump,Toy Story Series,Comedy,,Female,1991
A League of Their Own,Sleepless in Seattle,You've Got Mail,Romance,,Female,1961
Forrest Gump,Apollo 13,Saving Private Ryan,Other,,Other,1000
Forrest Gump,Saving Private Ryan,The Green Mile,Action,,Female,1988
A League of Their Own,Philadelphia,Sleepless in Seattle,Thriller,,Female,1964
Bachelor Party,Turner & Hooch,Saving Private Ryan,Action,,Male,1963
A League of Their Own,Forrest Gump,Toy Story Series,Comedy,,Female,1970
Forrest Gump,Saving Private Ryan,Sully,Drama,,Male,1953
Forrest Gump,Saving Private Ryan,The Green Mile,Action,,Male,1963
Forrest Gump,Saving Private Ryan,Catch Me if You Can,Comedy,,Male,1988
That Thing You Do,Charlie Wilson's War,Saving Mr. Banks,Drama,,Female,1953
Big ,Forrest Gump,Saving Private Ryan,Drama,,Male,1959
Philadelphia,Forrest Gump,Saving Private Ryan,Drama,,Female,1974
A League of Their Own,Forrest Gump,You've Got Mail,Drama,,Female,1988
Bachelor Party,Forrest Gump,Road to Perdition,Mystery,,Female,1958
Toy Story Series,You've Got Mail,Cast Away,Science Fiction,,Male,1988
A League of Their Own,Forrest Gump,Cast Away,Comedy,,Female,1988
Big,The 'Burbs,Toy Story Series,Romance,,Female,1980
The Money Pit,You've Got Mail,The Terminal,Adventure,,Male,1980
Philadelphia,Toy Story Series,Cast Away,Drama,,Male,1989
The Money Pit,Big,The Ladykillers,Comedy,,Male,1973
Forrest Gump,The Green Mile,The Post,Drama,,Female,1989
Big,A League of Their Own,Forrest Gump,Action,,Female,1990
Big,Saving Private Ryan,The Post,Thriller,,Male,1991
Big,Forrest Gump,Saving Private Ryan,Drama,,Male,1964
A League of Their Own,Forrest Gump,You've Got Mail,Romance,,Female,1991
Big,A League of Their Own,Forrest Gump,Comedy,,Female,1988
A League of Their Own,Forrest Gump,You've Got Mail,Drama,,Female,1965
A League of Their Own,Forrest Gump,Catch Me if You Can,Other,Spaghetti Western,Male,1989
Big,Forrest Gump,A Beautiful Day in the Neighborhood,Comedy,,Female,2004
A League of Their Own,Sleepless in Seattle,Forrest Gump,Drama,,Female,1963
Forrest Gump,Saving Private Ryan,The Green Mile,Comedy,,Male,1988
A League of Their Own,That Thing You Do!,You've Got Mail,Comedy,,Female,1990
The Man with One Red Shoe,The Money Pit,The 'Burb,Other,Spa Getti West Erns,Other,1982
Cloud Atlas,Bridge of Spies,A Beautiful Day in the Neighborhood,History,Yo Mama,Male,97
Punchline,Philadelphia,You've Got Mail,Other,Spaghetti Western,Other,173
The Man with One Red Shoe,The Money Pit,The 'Burbs,Science Fiction,,Male,1976
A League of Their Own,Toy Story Series,That Thing You Do!,Drama,,Respondent skipped this question,XXXX
The Man with One Red Shoe,The Money Pit,The 'Burbs,Thriller,,Male,1976
A League of Their Own,Toy Story Series,That Thing You Do!,Drama,,Respondent skipped this question,XXXX
Forrest Gump,Apollo 13,Cast Away,Thriller,,Female,1994
