,character,credit_id,poster_path,id,video,vote_count,adult,backdrop_path,genre_ids,original_language,original_title,popularity,title,vote_average,overview,release_date
0,Forrest Gump,52fe420ec3a36847f800074f,/clolk7rB5lAjs41SD0Vt6IXYLMm.jpg,13,False,19059,False,/7c9UVPPiTPltouxRVY6N9uugaVA.jpg,"[35, 18, 10749]",en,Forrest Gump,43.096,Forrest Gump,8.5,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-07-06
1,Paul Edgecomb,52fe424ac3a36847f8012bc7,/velWPhVMQeQKcxggNEU8YmIo52R.jpg,497,False,11093,False,/5Nz25DPXfQaSpDgce42Y3kFg9G4.jpg,"[80, 18, 14]",en,The Green Mile,30.824,The Green Mile,8.5,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",1999-12-10
2,Jim Lovell,52fe4253c3a36847f801595d,/oYUZHYMwNKnE1ef4WE5Hw2a9OAY.jpg,568,False,3702,False,/AfGp6Ev3BVdEd7L99kGQzOzsqRb.jpg,"[18, 36]",en,Apollo 13,17.536,Apollo 13,7.4,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",1995-06-30
3,Robert Langdon,52fe4259c3a36847f8017445,/6jexEWBXepwB1ZLpCEllI04Agrb.jpg,591,False,6579,False,/rbeXab3IISrxL7jVPjb7jZ4TdeE.jpg,"[53, 9648]",en,The Da Vinci Code,22.546,The Da Vinci Code,6.7,"A murder in Paris’ Louvre Museum and cryptic clues in some of Leonardo da Vinci’s most famous paintings lead to the discovery of a religious mystery. For 2,000 years a secret society closely guards information that — should it come to light — could rock the very foundations of Christianity.",2006-05-17
4,Viktor Navorski,52fe4259c3a36847f801762f,/vRYbjHs129MARMq1VDbnk9Jboen.jpg,594,False,5168,False,/zywtNiaZ9r7azrcNdl2j0jOgrkw.jpg,"[35, 18]",en,The Terminal,16.185,The Terminal,7.3,"Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant.",2004-06-17
5,Captain John H. Miller,52fe4283c3a36847f8024aef,/JC8KQ2BXaAIFEU8zEuakiwUQSr.jpg,857,False,10865,False,/hjQp148VjWF4KjzhsD90OCMr11h.jpg,"[18, 36, 10752]",en,Saving Private Ryan,35.509,Saving Private Ryan,8.1,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",1998-07-24
6,Sam Baldwin,52fe4283c3a36847f8024bd9,/iLWsLVrfkFvOXOG9PbUAYg7AK3E.jpg,858,False,1455,False,/q81a5Rjcms08sVWJrwXS2ACXVOI.jpg,"[35, 18, 10749]",en,Sleepless in Seattle,13.145,Sleepless in Seattle,6.7,"Desperate to find his dad Sam a date, a young boy calls into a radio show and catches the attention of Annie, a journalist who wants to meet Sam atop the Empire State Building.",1993-06-24
7,Woody (voice),52fe4284c3a36847f8024f95,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,862,False,13051,False,/lxD5ak7BOoinRNehOCA85CQ8ubr.jpg,"[16, 35, 10751]",en,Toy Story,67.744,Toy Story,7.9,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",1995-10-30
8,Woody (voice),52fe433f9251416c7500915d,/4cpGytCB0eqvRks4FAlJoUJiFPG.jpg,10193,False,10739,False,/wE5JGzujfvDPMIfFjJyrhXFjZLc.jpg,"[16, 10751, 35]",en,Toy Story 3,52.159,Toy Story 3,7.8,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2010-06-16
9,"Joshua ""Josh"" Baskin",52fe4349c3a36847f8048ac3,/nTY8Zmv7mpumDfzide6GSrekAgQ.jpg,2280,False,2358,False,/dGbBnTYxdHf1qyUgHsuFpxn1K4E.jpg,"[35, 18, 14, 10749, 10751]",en,Big,14.658,Big,7.1,When a young boy makes a wish at a carnival machine to be big—he wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman.,1988-06-03
